session_id;num_tetr;last_pfc_left;last_pfc_right;session_names;session_idx;reward_arms;rewards
JC258-20210625;;8;15;['training1','intersleep','training2'];[[1],[2],[3]];[4 8 6];[C H S]
JC258-20210626;;8;15;['training1','intersleep','training2'];[[1],[2],[3]];[4 8 6];[C H S]
JC258-20210627;;8;15;['training1','intersleep','training2'];[[1],[2],[3]];[4 8 6];[C H S]
JC258-20210628;;8;15;['training1','intersleep','training2'];[[1],[2],[3,4]];[4 8 6];[C H S]
JC258-20210629;;8;15;['training1','intersleep','training2'];[[1,2],[3],[4,5,6]];[4 8 6];[C H S]
JC258-20210701;;8;15;['training1','intersleep','training2'];[[1,2,3],[4],[5,6]];[4 8 6];[C H S]
JC258-20210702;;8;15;['training1','intersleep','training2'];[[1,2],[3],[4,5,6]];[4 8 6];[C H S]
JC258-20210704;;8;15;['training1','intersleep','training2'];[[1,2,3],[4],[5,6]];[4 8 6];[C H S]
JC258-20210705;;8;15;['training1','intersleep','training2'];[[1,2,3,4],[5],[6,7,8,9]];[4 8 6];[C H S]
JC258-20210706;;8;15;['training1','intersleep','training2'];[[1,2,3,4],[5],[6,7,8,9,10]];[4 8 6];[C H S]
JC258-20210717;;8;15;['training1','intersleep','training2'];[[1,2,3,4,5],[6],[7,8,9,10]];[4 8 6];[C H S]
JC258-20210718;;8;15;['training1','intersleep','training2'];[[1,2,3,4,5],[6],[7,8,9,10]];[4 8 6];[C H S]
JC258-20210721;;8;15;['training1'];[[1]];[4 8 6];[C H S]
JC267-20211125;27;8;14;['training1','intersleep','training2'];[[1,2,3,4,5,6],[7],[8,9]];[4 8];[C H]
JC267-20211126;27;8;14;['training1','intersleep','training2'];[[1,2,3,4],[5,6],[7,8]];[4 8];[C H]
JC267-20211127;27;8;14;['training1','intersleep','training2'];[[1,2,3,4],[5,6],[7,8,9,10]];[4 8];[C H]
JC274-20220304;25;8;14;['training1','intersleep','training2'];[[1,2],[3],[4]];[7 3 2];[C H S]
JC274-20220305;25;8;14;['training1','intersleep','training2'];[[1],[2],[3]];[7 3 2];[C H S]
JC274-20220306;25;8;14;['training1','intersleep','training2'];[[1,2],[3],[4,5,6,7,8]];[7 3 2];[C H S]
